file_name;file_extension;province;city;GPS;date;slogan;contributor;tags;file_location;notes
0;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;Beijing/000000.avi;
1;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;Beijing/000001.avi;
2;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
3;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
4;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
5;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
6;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
7;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
8;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
9;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
10;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
11;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
12;.AVI;Beijing;Beijing;NA;3/15/09;NA;Eva Xiao;parade, war, xijinping, military, history;;
13;.JPG;Beijing;Beijing;;;;;;;
14;;Beijing;Beijing;;;;;;;
15;;Beijing;Beijing;;;;;;;
16;;Beijing;Beijing;;;;;;;
17;;Beijing;Beijing;;;;;;;
18;;Beijing;Beijing;;;;;;;
19;;Beijing;Beijing;;;;;;;
20;;Beijing;Beijing;;;;;;;
21;;Beijing;Beijing;;;;;;;
22;;Beijing;Beijing;;;;;;;
23;;Beijing;Beijing;;;;;;;
24;;Beijing;Beijing;;;;;;;
25;;Beijing;Beijing;;;;;;;
26;;Beijing;Beijing;;;;;;;
27;;Beijing;Beijing;;;;;;;
28;;Beijing;Beijing;;;;;;;
29;;Beijing;Beijing;;;;;;;
30;;Beijing;Beijing;;;;;;;
31;;Beijing;Beijing;;;;;;;
32;;Beijing;Beijing;;;;;;;
33;;Beijing;Beijing;;;;;;;
34;;Beijing;Beijing;;;;;;;
35;;Beijing;Beijing;;;;;;;
36;;Beijing;Beijing;;;;;;;
37;;Beijing;Beijing;;;;;;;
38;;Beijing;Beijing;;;;;;;
39;;Beijing;Beijing;;;;;;;
40;;Beijing;Beijing;;;;;;;
41;;Beijing;Beijing;;;;;;;
42;;Beijing;Beijing;;;;;;;
43;;Beijing;Beijing;;;;;;;
44;;Beijing;Beijing;;;;;;;
45;;Beijing;Beijing;;;;;;;
46;;Beijing;Beijing;;;;;;;
47;;Beijing;Beijing;;;;;;;
48;;Beijing;Beijing;;;;;;;
49;;Beijing;Beijing;;;;;;;
50;;Beijing;Beijing;;;;;;;
51;;Beijing;Beijing;;;;;;;
52;;Beijing;Beijing;;;;;;;
53;;Beijing;Beijing;;;;;;;
54;;Beijing;Beijing;;;;;;;
55;;Beijing;Beijing;;;;;;;
56;;Beijing;Beijing;;;;;;;
57;;Beijing;Beijing;;;;;;;
58;;Beijing;Beijing;;;;;;;
59;;Beijing;Beijing;;;;;;;
60;;;;;;;;;;
61;;;;;;;;;;
62;;;;;;;;;;
63;;;;;;;;;;
64;;;;;;;;;;
65;;;;;;;;;;
66;;;;;;;;;;
67;;;;;;;;;;
68;;;;;;;;;;
69;;;;;;;;;;
70;;;;;;;;;;
71;;;;;;;;;;
72;;;;;;;;;;
73;;;;;;;;;;
74;;;;;;;;;;
75;;;;;;;;;;
76;;;;;;;;;;
77;;;;;;;;;;
78;;;;;;;;;;
79;;;;;;;;;;
80;;;;;;;;;;
81;;;;;;;;;;
82;;;;;;;;;;
83;;;;;;;;;;
84;;;;;;;;;;
85;;;;;;;;;;
86;;;;;;;;;;
87;;;;;;;;;;
88;;;;;;;;;;
89;;;;;;;;;;
90;;;;;;;;;;
91;;;;;;;;;;
92;;;;;;;;;;
93;;;;;;;;;;
94;;;;;;;;;;
95;;;;;;;;;;
96;;;;;;;;;;
97;;;;;;;;;;
98;;;;;;;;;;
99;;;;;;;;;;
100;;;;;;;;;;
101;;;;;;;;;;
102;;;;;;;;;;
103;;;;;;;;;;
104;;;;;;;;;;
105;;;;;;;;;;
106;;;;;;;;;;
107;;;;;;;;;;
108;;;;;;;;;;
109;;;;;;;;;;
110;;;;;;;;;;
111;;;;;;;;;;
112;;;;;;;;;;
113;;;;;;;;;;
114;;;;;;;;;;
115;;;;;;;;;;
116;;;;;;;;;;
117;;;;;;;;;;
118;;;;;;;;;;
119;;;;;;;;;;
120;;;;;;;;;;
